region,drug,prop
NA,Cocaine,0.81840796
connecticut,Cocaine,0.88672168
maine,Cocaine,0.703703704
massachusetts,Cocaine,0.794968553
new hampshire,Cocaine,0.764044944
rhode island,Cocaine,0.867132867
vermont,Cocaine,0.65
new jersey,Cocaine,0.847575058
new york,Cocaine,0.863693865
pennsylvania,Cocaine,0.812604201
illinois,Cocaine,0.804461942
indiana,Cocaine,0.503794513
michigan,Cocaine,0.782172003
ohio,Cocaine,0.770209274
wisconsin,Cocaine,0.7376
iowa,Cocaine,0.265363128
kansas,Cocaine,0.428571429
minnesota,Cocaine,0.376262626
missouri,Cocaine,0.46692607
nebraska,Cocaine,0.283333333
north dakota,Cocaine,0.052631579
south dakota,Cocaine,0.083333333
district of columbia,Cocaine,0.682539683
delaware,Cocaine,0.830985915
florida,Cocaine,0.766531714
georgia,Cocaine,0.626268019
maryland,Cocaine,0.865454545
north carolina,Cocaine,0.762227239
south carolina,Cocaine,0.706713781
virginia,Cocaine,0.744680851
west virginia,Cocaine,0.508152174
alabama,Cocaine,0.580705009
kentucky,Cocaine,0.530848329
mississippi,Cocaine,0.531722054
tennessee,Cocaine,0.643018018
arkansas,Cocaine,0.286324786
lousiana,Cocaine,0.574234093
oklahoma,Cocaine,0.259567388
texas,Cocaine,0.561656166
arizona,Cocaine,0.355907781
colorado,Cocaine,0.539278132
idaho,Cocaine,0.123505976
montana,Cocaine,0.14159292
nevade,Cocaine,0.263768116
new mexico,Cocaine,0.544488712
utah,Cocaine,0.231034483
wyoming,Cocaine,0.238095238
NA,Cocaine,0.543478261
california,Cocaine,0.268547382
NA,Cocaine,0.285714286
oregon,Cocaine,0.259174312
washington,Cocaine,0.359853121
NA,Cocaine,0.916666667
NA,Cocaine,1
